Country,series,Year,Value,Source,Exports (current US$),Imports (current US$),Current Account Balance (US$),NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NY.GDP.MKTP.CD,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.XPD.CHEX.GD.ZS
AFW,,2013,,IMF,,,,,,844202569830.553,,,,
AFW,,2014,,IMF,,,,,,903933677159.723,,,,
AFW,,2015,,IMF,,,,,,778022060796.81,,,2.92800960984003,3.87204089971725
AFW,,2016,,IMF,,,,,,700028171710.17,,,0.194177489414145,3.83469623415834
AFW,,2017,,IMF,,,,,,694051344215.045,,,2.29616754739388,3.74252858246796
AFW,,2018,,IMF,,,,,,777840407639.927,,,2.90465437511295,3.30462450428005
AFW,,2019,,IMF,,,,,,833288902800.025,,,3.28216299793968,3.32897540102703
AFW,,2020,,IMF,,,,,,797295175501.973,,,-0.984117425153343,3.89296420486982
AFW,,2021,,IMF,,,,,,858114511231.434,,,4.03000030607359,4.15231880504646
AFW,,2022,,IMF,,,,,,893639944629.861,,,3.97496354483744,4.20982209551871
AFW,,2023,,IMF,,,,,,814728528754.188,,,3.35798699488655,
AGO,,2000,,IMF,,,795650000.0,,,9129594970.15301,,,,
AGO,,2001,,IMF,,,-1430930000.0,,,8936079117.73136,,,,
AGO,,2002,,IMF,8725779778.62591,7370215354.13328,-150093385.26,8725779778.62591,7370215354.13328,15285592370.374,,,,
AGO,,2003,,IMF,9676099609.87075,8831519471.79368,-719558880.5,9676099609.87075,8831519471.79368,17812704586.4397,,,,
AGO,,2004,,IMF,13749775665.02,10645433208.9363,681237662.030001,13749775665.02,10645433208.9363,23552057679.4994,,,,
AGO,,2005,,IMF,24225651509.9701,15181987450.0371,5137882651.4822,24225651509.9701,15181987450.0371,36970900883.8109,,,,
AGO,,2006,,IMF,33245117538.7161,16320510961.119,10689818935.61,33245117538.7161,16320510961.119,52381025141.4268,,,,
